Hotel ID,Hotel name,Hotel URL,Stars (class),"x,y coordinates",pros,cons,author ID,creation_date
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,"Comfortable, good breakfast , great value for the money . Professional staff and big thanks to Mohammed and Roaa",The choices in the dinner buffet could be improved,7121763,2020-02-13 18:25:04
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,Staff were very friendly and helpful. Hotel was clean and room was spacious. Good location,Location was not easy for taxis,8682453,2019-12-18 21:12:18
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,the staff were really friendly and helpful. I got offered two cups of coffee and some dates waiting for my taxi.  it is near some coffee shops and restaurants plus an array of shops and grocery stores. The bed was really comfortable; the room very quiet.,"I booked this place as it advertised a swimming pool. no such rooftop pool exists so I carried all my swimming stuff here in vain. They should update the hotel description. two teabags and some sugar, two small vials of shampoo and mini bars of soap. The decor jaded and faded",7904611,2022-03-26 16:00:15
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,The team is adorable and the location,It’s really really old. No adaptor for plugs and the team don’t really speak English (but are adorable),112888065,2022-02-26 16:19:51
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,I liked the property,how big and fully facilitiez,515950867,2021-11-01 17:15:55
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,"A beautiful, classic, tidy hotel in a privileged location, close to services, and has a distinguished staff and management that cares about providing all means of comfort to the residents.",Comfort and privacy,85867988,2021-08-08 20:19:36
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,Calm and comfortable,Every things was clean and tidy,85867988,2020-01-07 01:41:45
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,"They are very nice staff especially 
Mr. Mohamed Mahmoud 
Respectful person 
Thanks a lot",,28646285,2019-10-17 12:51:08
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,"Location, quality and size",No internet,209955149,2022-04-22 11:03:59
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,people who work in at the reception,you can’t get any fresh air,124343811,2022-04-10 20:10:48
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,location,rooms,509799075,2021-11-30 22:58:31
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,Location,"I took suit, it has old furniture and noisy air conditioning system,  bathroom was very small and the water heater not working,",85321770,2021-11-03 12:08:19
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,The staff are very friendly & respectful,Our room didn’t have a view,,2020-01-14 16:25:42
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,560381492,2022-05-04 23:13:53
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,123917222,2022-04-29 16:08:21
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,0,2022-04-03 14:50:17
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,475289800,2022-03-07 18:30:00
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,313323659,2022-01-06 16:25:19
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,19435534,2022-01-03 12:20:18
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,97563619,2021-10-14 06:59:55
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,429515494,2021-09-26 10:06:26
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,0,2021-09-09 12:23:18
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,433087872,2021-03-22 11:02:14
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,208851351,2022-05-11 17:42:22
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,5578781,2022-04-06 20:21:08
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,208851351,2022-03-07 09:04:03
323320,Orans Suites 4,https://www.booking.com/hotel/sa/orans-4.html,0.0,39.1314446926117,21.592015596045,,,208851351,2022-03-03 20:10:47
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,almost everything 💖,the place was good but the downside was the door lock is not working.,214396445,2022-05-09 06:42:35
